Outlet Name,Outlet Reach (Weekly),Outlet Reach (Monthly),Market,Media Type
The Morning Call,89587,358348,"Allentown, PA",Online
The Morning Star,1000,4000,Local,Online
The Music Universe,1000,4000,National,Online
The New York Times,8371176.25,33484705,National,Online
The News Star,13038.25,52153,"Monroe, LA",Online
The Olympian,18248,72992,Myrtle Beach,Online
The Palm Beach Post,66930.25,267721,"Palm Beach, FL",Online
The Pantagraph,29437.75,117751,"Bloomington, IL",Online
The Pat McAfee Show,913000,913000,National,Social
The Post Star,1000,4000,Local,Online
The Repository,19651,78604,"Canton, OH",Online
The Rich Eisen Show,30458,30458,National,TV
The Score,89432,357728,National,Online
The Shawnee News Star,3901.75,15607,"Shawnee, OK",Online
The Spokesman-Review,122812,491248,"Spokane, WA",Online
The Spokesman-Review fb,72409,72409,"Spokane, WA",Social
The Spun,151721.25,606885,National,Online
The Star,1000,4000,Florida,Online
The State Journal-Register Online,27432.75,109731,"springfield, IL",Online
The Sun-Sentinel,238881.25,955525,Floriday,Online
The Tribune,30177.75,120711,"San Luis, CA",Online
The Tuscaloosa News Online,11001.75,44007,"Tuscaloosa, AL",Online
The Union Journal,14554.5,58218,National ,Online
The Virginian Pilot,76963.75,307855,"Norfolk, VA",Online
The Washington Post,5132932.5,20531730,National,Online
thetacomaledger.com,1000,4000,National,Online
Thrillist,901767.25,3607069,National ,Online
Time Out Miami,1159510.25,4638041,"Miami, FL",Online
Times Free Press,3266.25,13065,National,Online
Times Herald Record,26925.5,107702,"Middletown,NY",Online
TMZ,958887.25,3835549,National,Online
Total Pro Sports,131809.25,527237,National,Online
Totally 93.9 ,1000,4000,"Miami, FL",Online
Touchdown Wire,16719.25,66877,National,Online
Trend Hunter,84699,338796,National,Online
Trendhunter,109032.25,436129,National ,Online
TribLive,7033.75,28135,National,Online
Tulsa World,239502,958008,"Tulsa, OK",Online
Tuscon,10078,40312,"Tuscon, AZ",Online
Twiiter: Knox Bardeen,12000,12000,"Atlanta, GA",Social
Twiiter: Rob Jarnetty,9594,9594,National,Social
Twin Cities Pioneer Press,88894.5,355578,"Minneapolis, MN",Online
Twitter - 105.3 The FAN,84242,84242,National,Social
Twitter - 10News,177496,177496,"San Diego, CA",Social
Twitter - 13 News Now,141154,141154,"Norfolk, VA",Social
Twitter - 7 News Boston,337454,337454,"Boston, MA",Social
Twitter - 96.9 The Game,7625,7625,National,Social
Twitter - 97.1 The Ticket,193548,193548,"Detroit, MI",Social
Twitter - 9News Denver,447998,447998,"Denver, CO",Social
Twitter - 9NEWS Sports Denver,14457,14457,"Denver, CO",Social
Twitter - ABC27,30446,30446,"Tallahassee, FL",Social
Twitter - Andrew Abramson,15992,15992,National,Social
Twitter - Andrew LaCombe,2374,2374,National ,Social
Twitter - Best Products,6785,6785,National ,Social
Twitter - Brandon Wenerd,8076,8076,National ,Social
Twitter - CNN Business,1836954,1836954,National ,Social
Twitter - Country 102.5,18547,18547,"Nashville, TN",Social
Twitter - Darren Rovell,2036502,2036502,National,Social
Twitter - Delish.com,61114,61114,National ,Social
Twitter - First Coast News,132739,132739,"Jacksonville, FL",Social
Twitter - For The Win,85762,85762,National,Social
Twitter - FOX 47 News,14011,14011,"Lansing, MI",Social
Twitter - Freep Sports,44976,44976,"Detroit, MI",Social
Twitter - Front Office Sports,51756,51756,National,Social
Twitter - Jaguar Repotr,3997,3997,National,Social
Twitter - Jeremy Darlow,84810,84810,National,Social
Twitter - Joe Miragliotta,24248,24248,National ,Social
Twitter - Jordan Valinsky,4143,4143,National ,Social
Twitter - Julie Stewart-Binks,92680,92680,National,Social
Twitter - Justin Barney,11482,11482,National,Social
Twitter - KSDK News,237552,237552,"St. Louis, Mo",Social
Twitter - KTNV 13 Action News,185511,185511,"Las Vegas, NV",Social
Twitter - KVUE News,217762,217762,"Austin, TX",Social
Twitter - Kype P,2996,2996,National ,Social
Twitter - Matthew Berry,1039696,1039696,National,Social
Twitter - Mediapost,115114,115114,National ,Social
Twitter - Micahel Aaron,1587,1587,"Austin, TX",Social
Twitter - News 6 WKMG,140745,140745,"Orlando, FL",Social
Twitter - News4JAX,181350,181350,"Jacksonville, FL",Social
Twitter - Now 105.7 Binghamton,2470,2470,National ,Social
Twitter - Pat Chun,9854,9854,National,Social
Twitter - Pat Evans,2459,2459,National,Social
Twitter - PFF Fantasy Football,207765,207765,National,Social
Twitter - Radio.com Sports,3072,3072,National,Social
Twitter - Sporting News ,225798,225798,National,Social
Twitter - Sports Illustrated,1804049,1804049,National,Social
Twitter - Steve Gehlbach,5733,5733,National,Social
Twitter - Steve Schale,32633,32633,National,Social
Twitter - The Jaguars Wire,3356,3356,National,Social
Twitter - Tom Barrabi,1474,1474,National,Social
Twitter - Touchdown Wire,4019,4019,National,Social
Twitter - USA Today Sports,240330,240330,National,Social
Twitter - WBIR Channel 10,182601,182601,National,Social
Twitter - WGRZ,191453,191453,National ,Social
Twitter - WTOL 11,105956,105956,"Toledo, OH",Social
Twitter: @Adage,990079,990079,National,Social
Twitter: @Big Cat Coutnry,37227,37227,"Jacksonville, FL",Social
Twitter: @brobiblw,142018,142018,National,Social
Twitter: @Captials,778413,778413,"Washington, DC",Social
Twitter: @Chargers,886424,886424,"Los Angeles, CA",Social
Twitter: @ClohertyWTOP,3130,3130,"Washginton, DC",Social
Twitter: @David Armano,74812,74812,"Chicago, IL",Social
Twitter: @Deaktak,29575,29575,National,Social
Twitter: @FiveTimesAugust,54668,54668,National,Social
Twitter: @Frntofficesports,46034,46034,National,Social
Twitter: @gregWyshynski,202871,202871,National,Social
Twitter: @kirtbardella,40968,40968,National,Online
Twitter: @Mbraves,28438,28438,Mississippe,Social
Twitter: @mediapost,115149,115149,National,Social
Twitter: @meglinhan,18534,18534,National,Social
Twitter: @nyknicks,2174854,2174854,"New York, NY",Social
Twitter: @Philiplouis01,2315,2315,National,Social
Twitter: @Redskins,1264788,1264788,Washington ,Social
Twitter: @StLouisBlues,752775,752775,"St. Louis, MO",Social
Twitter: @Trendhunter,239961,239961,National,Social
Twitter: 101.7 The Hammer,1495,1495,"Lafayette, Indiana",Social
Twitter: 102.5 The Bone,30887,30887,National,Social
Twitter: 102.7 KIIS FM,352063,352063,"Los Angeles, CA",Social
Twitter: 106.5 WSFL,800,800,"Miami, FL",Social
Twitter: 12Up,26170,26170,National,Social
Twitter: 94.5 The Buzz,53956,53956,"Tampa, FL",Social
Twitter: 96.9 The Game,367596,367596,"Orlando, FL",Social
Twitter: 98 Rock Tampa Bay,14351,14351,"Tampa, FL",Social
Twitter: Adam Hoge,48522,48522,National,Social
Twitter: Adam Huge,48522,48522,National,Social
Twitter: Adam Schefter,7853111,7853111,National,Social
Twitter: adpulp,2153,2153,National,Social
Twitter: Adweek,632639,632639,National,Social
Twitter: Aerial Powers,10459,10459,National,Social
Twitter: Alex Gleitman,21504,21504,National,Social
Twitter: Allie Long,130774,130774,National,Social
Twitter: Andre Reed,68776,68776,National,Social
Twitter: Andrea Pet,2413,2413,National,Social
Twitter: Areial Powers,10514,10514,National,Social
Twitter: Around the NFL,664449,664449,National,Social
Twitter: Austen Bundy,1140,1140,National,Social
Twitter: bardown,134637,134637,National,Social
Twitter: Barstool Sports,2292716,2292716,National,Social
Twitter: Ben Fischer,7897,7897,National,Social
Twitter: Ben Katko,2181,2181,National,Social
Twitter: Benjamin Raven,3472,3472,National,Social
Twitter: Best Ads,53743,53743,National,Social
Twitter: Big D,22691,22691,National,Social
Twitter: big955chicago,10482,10482,National,Social
Twitter: Billboard,8606926,8606926,National,Social
Twitter: Billboard Biz,146106,146106,National,Social
Twitter: Brandon Daniels,246,246,National,Social
Twitter: Brandon McManus,35800,35800,National,Social
Twitter: Brandon Pope,9925,9925,National,Social
Twitter: Brandon Weigel,3939,3939,National,Social
Twitter: BroBible,141996,141996,National,Social
Twitter: Brooke Ashley Taylor,21729,21729,National,Social
Twitter: CBS Baltimore (WJZ),255089,255089,"Baltimore, MD",Social
Twitter: Charles Boehm,14336,14336,National,Social
Twitter: Cheryl Casone,45224,45224,National,Social
Twitter: Chicago Tribune Sports,35551,35551,"Chicago, IL",Social
Twitter: Chris Biderman,21189,21189,National,Social
Twitter: Chris Brockman,14625,14625,National,Social
Twitter: Chris Duel,9547,9547,National,Social
Twitter: Chris Janson,103570,103570,National,Social
Twitter: Christina Nicholson,15438,15438,"Miami, FL",Social
Twitter: Clem,91129,91129,National,Social
Twitter: Cody Alan,243983,243983,National,Social
Twitter: Complex,2198430,2198430,National,Social
Twitter: Cory Mageors,17941,17941,National,Social
Twitter: Country Living,548681,548681,National,Social
Twitter: Darren Rovell,2053955,2053955,National,Social
Twitter: David Folse,3804,3804,National,Social
Twitter: DK Metcalf,109357,109357,National,Social
Twitter: Eddie Timanus,2478,2478,Local,Social
Twitter: Entertainment Rocks,1091,1091,National,Social
Twitter: Eric Paschall,26785,26785,National,Social
Twitter: ESPN 1420,5843,5843,National,Social
Twitter: ESPN Esports,486350,486350,National,Social
Twitter: ET Canada,376810,376810,National,Social
Twitter: Evan Millward,6198,6198,National,Social
Twitter: Fansided NFL,4363,4363,National,Social
Twitter: FOX43  ,83395,83395,"York, PA",Social
Twitter: FOX43 Sports ,367596,367596,"York, PA",Social
Twitter: Freep Sports,11277.5,45110,"Detroit, MI",Social
Twitter: Fresno Bee,92521,92521,Fresno,Social
Twitter: Gavin Lux,22616,22616,National,Social
Twitter: Gina Crash,3098,3098,National,Social
Twitter: Golden Boy,136758,136758,National,Social
Twitter: Gwinnett Daily,46252,46252,"Gwinnett, GA",Social
Twitter: Hola! USA,13396,13396,National,Social
Twitter: Hunter Harris,81281,81281,National,Social
Twitter: Ian Rapoport,2240626,2240626,National,Social
Twitter: Jalen Brunson,33386,33386,National,Social
Twitter: Jameson Fleming,3129,3129,National,Social
Twitter: Jason Horowitz,6997,6997,National,Social
Twitter: Jay Bir,3263,3263,National,Social
Twitter: Jeff Benjamin,152260,152260,National,Social
Twitter: Jeff Kerr,7412,7412,National,Social
Twitter: Jenn Frederick,42788,42788,National,Social
Twitter: John Breech,8415,8415,National,Social
Twitter: John Niyo,3372.75,13491,"Detroit, MI",Social
Twitter: Josh Hart,372838,372838,National,Social
Twitter: Josh Moser,12273,12273,National,Social
Twitter: Josh Terry,13411,13411,National ,Social
Twitter: Justin Dunn,7771,7771,National,Social
Twitter: Justin Taylor,14568,14568,National,Social
Twitter: Kaci Koviak,806,806,National ,Social
Twitter: Kami Mattiolo,9566,9566,National ,Social
Twitter: Kelly Dobeck,6985,6985,"Cleveland, OH",Social
Twitter: KOST 1035,18551,18551,Local,Social
Twitter: Kurt Bardella,45009,45009,National,Social
Twitter: Lindsey OK,31324,31324,National,Social
Twitter: Lions Wire,9483,9483,"Detriot, MI",Social
Twitter: Liz Arreola,3833,3833,National,Social
Twitter: Liz Claman,102440,102440,National,TV
Twitter: Louie G,22721,22721,National,Social
Twitter: Louisie G,22708,22708,National,Social
Twitter: Marcus Peters,79745,79745,National,Social
Twitter: Marketing Dive,11436,11436,National,Social
Twitter: Marty Bass,6679,6679,"Baltimore, MD",Social
Twitter: Maverick Phillips,26902,26902,National,Social
Twitter: Megan Chayka,22872,22872,National,Social
Twitter: Michael Schwartz,1214,1214,"Rochester, NY",Social
Twitter: Michael Spencer,4698,4698,National,Social
Twitter: Mike Corcoran,3487,3487,National,Social
Twitter: Mile High Sports,14279,14279,National,Social
Twitter: Mlive,310104,310104,"Flint, Michigan",Social
Twitter: Mo Egger,58405,58405,National,Social
Twitter: Morning Hangover,8551,8551,National,Social
Twitter: Muse by Clio,4087,4087,National,Social
Twitter: NBC Sports Philadelphia,90227.5,360910,"Philadelphia, PA",Social
Twitter: NBC Sports Redskins,36332,36332,"Washington, DC",Social
Twitter: NESN,318799,318799,"Boston, MA",Social
Twitter: New York Rangers,1456747,1456747,"New York, NY",Social
Twitter: New York Times Music,177216,177216,National,Online
Twitter: News West 9,17528,17528,"Midland, TX",Social
Twitter: NWSL,192796,192796,National,Social
Twitter: patrick Renna,37504,37504,National,Social
Twitter: Penn Live,120982,120982,"Harrisburg, PA",Social
Twitter: Pennsylvania Sports,13088,13088,Pennsylvania,Social
Twitter: People,7638850,7638850,National,Social
Twitter: Pete Alonso,99253,99253,National,Social
Twitter: POPSUGAR Latina,4569,4569,National,Social
Twitter: ProFootballTalk,1608150,1608150,National,Social
Twitter: Puckett For Hire,241757,241757,National,Social
Twitter: Reuters,22676125,22676125,National ,Social
Twitter: Reuters Business,2189166,2189166,National ,Social
Twitter: Reuters U.S. News,118104,118104,National ,Social
Twitter: Rob Higgins,8365,8365,"Tampa, FL",Social
Twitter: Rob Williams,18221,18221,National,Social
Twitter: Roberto Abramowitz,14156,14156,National,Social
Twitter: Rod Ryan Show,121236,121236,National,Social
Twitter: Rolling Stone,6317268,6317268,National,Social
Twitter: Rolling Stone Country,55471,55471,National,Social
Twitter: Royce O'Neale,36353,36353,National,Social
Twitter: RS Country,55459,55459,National,Social
Twitter: Ryan Barwick,625,625,National,Social
Twitter: Ryan Conway,6004,6004,National,Social
Twitter: Ryan Decker,820,820,National,Social
Twitter: RyanSmithFLA,24697,24697,National,Social
Twitter: Sage Steele,186182,186182,National,Social
Twitter: Sport Techie,31930,31930,National,Social
Twitter: Sports Business Journal,104518,104518,National,Social
Twitter: Sports Business Radio,14398,14398,National,Social
Twitter: Sports Jim,2048,2048,National,Social
Twitter: Sportsnet,747022,747022,National,Social
Twitter: Stay Home Sul,1683,1683,"Topeka, kansas",Social
Twitter: Steve Mason,57377,57377,National,Social
Twitter: The Jaguar Wire ,3354,3354,"Jacksonville, FL",Social
Twitter: The Modesto Bee,65141,65141,"Modesto, CA",Social
Twitter: The Score,593795,593795,National,Social
Twitter: TMZ,5410071,5410071,National,Social
Twitter: TMZ Sports,215673,215673,National,Social
Twitter: Top Shelf Direct ,26751,26751,National,Social
Twitter: Tribune-Review Sports,32821,32821,"Pittsburgh, PA",Social
Twitter: Twitch Esports,362543,362543,National,Social
Twitter: USA Today NFL,32486,32486,National,Social
Twitter: USA Today Sports,241597,241597,National,Social
Twitter: Walter Allen Fox 13,7179,7179,"Tampa, FL",Social
Twitter: WGN Morning News,102095,102095,"Chicago,IL",Social
Twitter: Will Brinson,82154,82154,National,Social
Twitter: WNKY TV,5211,5211,"Bowling Green, KY",Social
Twitter: WSVN 7 News,409300,409300,"Miami, FL",Social
Twitter: WTKR News 3,103811,103811,"Norfolk, VA",Social
Twitter: XTRA1360,15168,15168,National,Social
Twitter: Zach Dean,2088,2088,National,Social
Twitter: Zach Gelb,5924,5924,National,Social
Twitter:97.5 WAMZ,5591,5591,National,Social
Twitter:Maverick Phillips,27045,27045,National,Social
Twitter:New Orleans Saints,1530999,1530999,National,Social
Twitter:Or Moyal,3062,3062,National,Social
Twitter:Puckett For Hire,242593,242593,National,Social
Twitter:Redskins,1264181,1264181,National,Social
Twitter:The Checkdown,371392,371392,National,Social
Twitter:US99 Chicago,28761,28761,"Chicago, IL",Social
Twitter; @espn1420,5843,5843,National,Social
Twitter; @mercedesintheAM,18604,18604,National,Social
Twitterl Denver Biz Journal,101468,101468,"Denver, CO",Social
U Disocver Music,45586,182344,National,Online
UDA Today Lions Wire,10000,40000,"Detriot, MI",Online
US 99 fb,93575,93575,"Chicago, IL",Social
US 99 Online,1000,4000,"Chicago, IL",Online
US News and World Report,3382038.75,13528155,National ,Online
US Weekly,335100.25,1340401,National,Online
USA Today,7488748,29954992,National,Online
USA Today Sports fb,1140474,1140474,National,Social
Variety Online,1139670,4558680,National,Online
Venture Beat,348809.5,1395238,National,Online
Vinepair,134907.75,539631,National ,Online
Viral Legends,1000,4000,National,Online
Vulture,1097199,4388796,National ,Online
WAAY (ABC),8825,8825,"Huntsville, AL",TV
Waco Tribune,19483,77932,"Waco, TX",Online
WALA (FOX),20112,20112,"Mobile, AL",TV
Wanna Do,1000,4000,"Nashville, TN",Online
Washington County News,2896.75,11587,"Chipley, FL",Online
WAVE-LOU (NBC),37907,37907,"Louisville, KY",TV
Waxahachie Daily Light,3975,15900,"Dallas, TX",Online
WBBH-TV,31290,31290,"Fort Myers, FL",TV
WBFF-BAL (FOX),46500,46500,"Baltimore, MD",TV
WBIR (NBC),21554,21554,"Knoxville, TN",TV
WBIR Online,50058.75,200235,"Knoxville, TN",Online
WBND (ABC),5693,5693,"South Bend, IN",TV
WBNS-CBO (CBS),13880,13880,"Columbus, OH",TV
WBOC-16 (CBS),10497,10497,"Salisbury, MD",TV
WBRZ,33336.25,133345,"Baton Rouge, LO",Online
WBUP-TV,8750,8750,"Detroit, MI",TV
WBVT-TV,6517,6517,"Norfolk, VA",TV
WBWN- FM Online,1000,4000,"Bloomington, IL",Online
WCAX-BUR (CBS),9736,9736,"Burlington, VT",TV
WCCQ 98.3,1000,4000,"Crest Hill, IL",Online
WCHS (ABC),11133,11133,"Charleston, WV",TV
WCIV-CHS (ABC),9985,9985,"Charleston, SC",TV
WCJB (ABC),30423,30423,"Gainesville, FL",TV
WCJC 99.3,1000,4000,Local,Online
WCKG fb,53244,53244,"Chicago, IL",Social
WCPO,78420,313680,"Cincinnati, OH",Online
WCTI-GRENC (ABC),9287,9287,"Greenville, NC",TV
WDAF-KC (FOX),44310,44310,"Kansas City, MO",TV
WDAM (NBC),4000,4000,"Hattiesburg, MS",TV
WDHA,1000,4000,"Cedar Knolls, NJ",Online
WDIV-TV,45941,45941,"Detroit, MI",TV
WDJT-MILW (CBS),5998,5998,"Milwaukee, WI",TV
WDJT-TV (CBS),3208,3208,"Milwaukee, WI",TV
WDSU-TV,11841,11841,"New Orleans, LA",TV
WDTV (CBS),1258,1258,"Clarksburg, WV",TV
WEAR (ABC),25500,25500,"Mobile, AL",TV
WEAU (NBC),4856,4856,"La Crosse, WI",TV
WECT (NBC),1250,1250,"Wilmington, NC",TV
Wellington Daily News,739.25,2957,"Wellington, KS",Online
WENY,1000,4000,Local,Online
WFBC-FM,1000,4000,"Greenville, Sc",Online
WFMS,1000,4000,"Indianapolis, IN",Online
WFMZ-TV Online,96726.25,386905,"Allentown, PA",Online
WFOX,21992,21992,"Jacksonville, FL",TV
WFSB-HFD (CBS),41127,41127,"Hartford-New Haven, CT",TV
WFTX-FTM (FOX),173,173,"Fort Myers, FL",TV
WFTX-TV Online,21980.75,87923,"Cape Coral, FL",Online
WFXB (FOX),1262,1262,"Myrtle Beach, SC",TV
WFXB-TV,4000,4000,"Myrtle Beach, SC",TV
WFXG (FOX),1543,1543,"Augusta, GA",TV
WFXP (FOX),1276,1276,"Erie, PA",TV
WFXT-BOS (FOX),4547,4547,"Boston, MA",TV
WGBA (NBC),1418,1418,"Green Bay, WI",TV
WGGB-SPR (ABC),13252,13252,"Springfield, MA",TV
WGHP-TV,41680,41680,"Greensboro, NC",TV
WGMD Online,5195.25,20781,"Lewes, DE",Online
WGN-TV,80289,80289,"Chicago, IL",TV
WGOW,1000,4000,"Chattanooga, TN",Online
WGRZ Online,75158,300632,"Buffalo, NY",Online
WHDH,106407.5,425630,"Boston, MA",Online
WHIO (CBS),41518,41518,"Dayton, OH",TV
Whiskey Riff,57245.75,228983,National ,Online
WHNS (FOX),2847,2847,"Greenville, SC",TV
WHTT,98.5,394,"Buffalo, NY",Online
WICC,116,464,"Bridgeport, CT",Online
WICZ,10564,42256,"Binghamton, NY",Online
Wide Open Eats,65806.5,263226,National ,Online
WIKY,1000,4000,"Evansville, IN",Online
WILM (CBS),175,175,"Wilmington, NC",TV
WILX (NBC),3792,3792,"Lansing, MI",TV
WIN 98.5,1081.75,4327,"Grand Rapids, MI",Online
WIN Country,1000,4000,National,Online
WISH-IN (CW),8937,8937,"Indianapolis, IN",TV
WISH-TV,12388,12388,"Indianapolis, IN",TV
WISN-MKE (ABC),72858,72858,"Milwaukee, WI",TV
Wisonsin State Farmer,12455.75,49823,Wisconsin,Online
WITI-MILW (FOX),32657,32657,"Milwaukee, WI",TV
WIVB,34459.25,137837,"Buffalo, NY",Online
WIVK 107.7,1000,4000,Local,Online
WJAC (NBC),6893,6893," Johnstown-Altoona, PA",TV
WJBK-DET (FOX),17690,17690,"Detroit, MI",TV
WJBK-TV,88893,88893,"Detroit, MI",TV
WJFW (NBC),4000,4000,"Wausau, WI",TV
WJRZ,1000,4000,"New York, NY",Online
WJW-CLE (FOX),62221,62221,"Cleveland, OH",TV
WJXT-JAX,45779,45779,"Jacksonville, FL",TV
WJXX-JAX (ABC),7534,7534,"Jacksonville, FL",TV
WKBW,142076.75,568307,"Buffalo, NY",Online
WKDQ Online,5265.25,21061,"Chicago, IL",Online
WKKG,1000,4000,"Columbus, IN",Online
WKML 95.7,1000,4000,"Fayetteville, NC",Online
WKNY TV Online,4278,17112,"Bowling Green, KY",Online
WKRN-NAS (ABC),54425,54425,"Nashville, TN",TV
WKXA 100.5,1000,4000,"Findlay, OH",Online
WLEX-TV online,89326,357304,"Lexington, KY",Online
WLKY-LOU (CBS),37038,37038,"Louisville, KY",TV
WLNE-PVD (ABC),5208,5208,"Providence, RI",TV
WLOX (ABC),7616,7616,"Biloxi, MS",TV
WLUK-TV,29875,29875,"Green Bay, WI",TV
WMDT (ABC),2352,2352,"Salisbury, MD",TV
WMGK,1000,4000,"Bala, PA",Online
WMXI,1000,4000,"Detriot, MI",Online
WNBC-NY (NBC),379004,379004,"New York, NY",TV
WNBC-TV,205084,205084,"New York, NY",TV
WOAI-SAT (NBC),9939,9939," San Antonio, TX",TV
WOKQ,1727.25,6909,National,Online
WOKQ Online,1727.25,6909,National,Online
WOKV Online,6996.75,27987,"Jacksonville, FL",Online
WOKV-AM (Radio),4000,4000,"Jacksonville, FL",Radio
WOLO- COL (ABC),9168,9168,"Columbia, SC",TV
WPBF (ABC),51952,51952,"West Palm Beach, FL",TV
WPBN (NBC),17290,17290,"Denver, CO",TV
WPDE (ABC),3731,3731," Myrtle Beach, SC",TV
WPIR-TV,90821,90821,"Providence, RI",TV
WPMT-TV,10507,10507,"Harrisburg, PA",TV
WPOC,2540.5,10162,"Baltimore, MA",Online
WPRI-PVD (CBS),43445,43445,"Providence, RI",TV
WPTV,78396.25,313585,"West Palm Beach, FL",Online
WPTV (NBC),13941,13941,"West Palm Beach, FL",TV
WPTZ-BUR (NBC),22919,22919,"Burlington, VT",TV
WQRF (FOX),1377,1377,"Rockford, IL",TV
WQXA,1000,4000,"York, PA",Online
WRAL,1000,4000,"Raleigh, NC",Online
WRAL online,290276.75,1161107,"Raleigh, NC",Online
WRCB (NBC),10851,10851," Chattanooga, TN",TV
WRIC-RIC (ABC),5008,5008,"Richmond, VA",TV
WRIF,5174.25,20697,"Detriot, MI",Online
WROR,1000,4000,"Dorchester, MA",Online
WRTC,53566.25,214265,"Indianapolis, IN",Online
WRTV-Online,47212.25,188849,"Indianapolis, IN",Online
WSAW (CBS),20504,20504,"Wausau, WI",TV
WSAZ (NBC),5383,5383,"Charleston, WV",TV
WSCV (Telemundo),22528,22528,"Miami, FL",TV
WSMV-TV (NBC),68955,68955,"Nashville, TN",TV
WSPT ,1000,4000,Local,Online
WSVN,87765,351060,"Miami, FL",Online
WSVN-TV fb,621373,621373,Miami,Social
WTHI 99.9,1000,4000,"Terre Haute, IN",Online
WTHR.com,139757.25,559029,National,Online
WTHR-IN (NBC),53106,53106,"Indianapolis, IN",TV
WTIC-HFD (FOX),10453,10453,"Hartford-New Haven, CT",TV
WTKR-NFK (CBS),27156,27156,"Norfolk, VA",TV
WTKR-TV Online,54498,217992,"Norfolk, VA",Online
WTMJ,56473.75,225895,"Milwaukee, WI",Online
WTMJ-TV Online,39608.75,158435,"Milwaukee, WI",Online
WTNZ (FOX),7634,7634,"Knoxville, TN",TV
WTOL Online,34615.75,138463,"Toledo, OH",Online
WTOP ,303741.5,1214966,Washington DC,Online
WTVA (NBC),11720,11720,"Columbus, MS",TV
WTVC (ABC),8553,8553," Chattanooga, TN",TV
WTVF-TV,125022,125022,"Nashville, TN",TV
WTVG (ABC),38553,38553,"Toledo, OH",TV
WTVQ (ABC),8442,8442,"Lexington, KY",TV
WTVR,94944.75,379779,"Richmond, VA",Online
WTVR-TV Online,79612.75,318451,"Richmond, VA",Online
WTVT-TB (FOX),25146,25146,"Tampa Bay, FL",TV
WTWC-TV,3609,3609,"Tallahasse, FL",TV
WTXF-PHI (FOX),21120,21120," Philadelphia, PA",TV
WTXF-TV,73062,73062,"Philadelphia, PA",TV
WUPW (FOX),4211,4211,"Toledo, OH",TV
WVAH-TV,6331,6331,"Charleston, SC",TV
WVFX (FOX),959,959,"Clarksburg, WV",TV
WVIR (NBC),7907,7907,"Charlottesville, VA",TV
WWAY (ABC),7790,7790,"Wilmington, NC",TV
WXII (NBC),8610,8610,"Greensboro, NC",TV
WXIX-CIN (FOX),28760,28760,"Cincinnati, OH",TV
WXYZ,90467.5,361870,"Detriot, MI",Online
WXYZ-TV Online,88506.25,354025,"Detroit, MI",Online
WYDO-GRENC (FOX),932,932,"Greenville, NC",TV
WYZZ (FOX),2605,2605,"Peoria, IL",TV
WZDX-TV,15429,15429,"Hunstville, AL",TV
WZTV-TV (FOX,18800,18800,"Nashville, TN",TV
WZVN-FTM (ABC),788,788,"Fort Myers, FL",TV
WZVN-TV,9191.75,36767,"For Myers, FL",TV
WZZM-TV,35082,35082,"Grand Rapids, MI",TV
Y100 Country,1000,4000,"Green Bay, WI",Online
Y102 Hot Country,1000,4000,"Kearney, NE",Online
Yahoo,37331195.5,149324782,National ,Online
Yahoo Entertainment,39939879,159759516,National ,Online
Yahoo Finance,4812413.75,19249655,National ,Online
Yahoo Life fb,2204595,2204595,National ,Social
Yahoo Lifestyle,39939879,159759516,National ,Online
Yahoo Money,183406,733624,National,Online
Yahoo News,39939879,159759516,National ,Online
Yahoo Sports,2697486.75,10789947,National,Online
Yahoo Sports!,1969601.75,7878407,National ,Online
Yahoo! News,37331195.5,149324782,National,Online
Yahoo! Noticias,103995.5,415982,National,Online
YardBarker,84310.25,337241,National,Online
YouTube - CBS 4 Indy,950,950,National ,Social
YouTube - Joe's Daily,14300,14300,National ,Social
z94.3,1000,4000,"Mishawaka, IN",Online
South Magazine,500000,2000000,National,TESTING
VH1,600000,2400000,National,TESTING
