Outlet Name,Outlet Reach (Weekly),Outlet Reach (Monthly),Market,Media Type
Detroit Lions,9743.5,38974,"Detroit, MI",Online
Detroit Star,1000,4000,"Detroit, MI",Online
Dexerto,504673,2018692,National,Online
Diario Libre,12858.75,51435,National,Online
Digital 101.5,1000,4000,National,Online
DK Pittsburgh Sports,12135.5,48542,"Pittsburgh, PA",Online
Dodge City Daily News,1289.5,5158,"Dodge City, KS",Online
Dothan Eagle,4742.75,18971,"Dothan, AL",Online
Dover Online,1000,4000,"Dover, DE",Online
Draft Kings Nation,1084,4336,National,Online
Eater,752666.5,3010666,National ,Online
Elite Daily,506879.75,2027519,National ,Online
Elite Sports NY,15470.5,61882,"New York, NY",Online
emarketer,16291.25,65165,National,Online
Entertainment Rocks,1000,4000,National,Online
Espacio De Prensa,1000,4000,"New York, NY",Online
ESPN,4559421,18237684,National,Online
ESPN 1420,1000,4000,National,Online
ESPN- TV,249617,249617,National,TV
ESPN-TV,974000,974000,"Detroit, MI",TV
Esports Talk,1325.25,5301,National,Online
ESTNN,3439.25,13757,National,Online
ET Canada,51284.75,205139,National,Online
Evening Sun,1019.75,4079,"Norwich, NY",Online
Extra,1258114,1258114,National,TV
Facebook Marketing Dive,6950,6950,National,Social
Facebook: Blake McHugh TV,1178,1178,"Portland, OR",Social
Facebook: BroBible,1175281,1175281,National,Social
Facebook: CBS Baltimore (WJZ),367596,367596,"Baltimore, MD",Social
Facebook: Complex,5366971,5366971,National,Social
Facebook: Denver Biz Jouranl,17971,17971,"Denver, CO",Social
Facebook: FOX43 ,195179,195179,"York, PA",Social
Facebook: FOX43 Sports,1012,1012,"York, PA",Social
Facebook: Hola USA,461539,461539,National,Social
Facebook: MediaPost,29024,29024,National,Social
Facebook: NBC Sports Philadelphia,259666,259666,"Philadelphia, PA",Social
Facebook: NBC Sports Washington,353614,353614,"Washington, DC",Social
Facebook: NESN,646199,646199,"Boston, MA",Social
Facebook: News West 9 ,218920,218920,"Midland, TX",Social
Facebook: Popsugar,5429558,5429558,National,Social
Facebook: Spencer Dukoff,2430,2430,"Portland, OR",Social
Facebook: TMZ Sports,66402,66402,National,Social
Facebook: USA Today Sports,1145365,1145365,National,Social
Fan Duel,75084.25,300337,National,Online
FB: Best Products,2028129,2028129,National ,Social
First Coast News,89277.75,357111,"Jacksonville, FL",Online
Foc 99,1000,4000,Local,Online
Food Bev,1000,4000,National ,Online
Foodsided,3382.25,13529,National ,Online
For the Win,286577.75,1146311,National,Online
For the win fb,522409,522409,National,Social
Forbes,8433520,33734080,National,Online
Fort Worth Star Telegram,101618,406472,"Fort Worth, TX",Online
Foster's,27272,109088,"portsmouth, nH",Online
Fox & Friends,304271.75,1217087,Natioanl,TV
FOX 13 Now,86810,347240,"Salt Lake City, UT",Online
FOX 43,41408.25,165633,"York, PA",Online
FOX 47 Online,4782,19128,"Lansing, MI",Online
Fox and Friends,1400000,1400000,National,TV
Fox Business Network,200000,200000,National,TV
FOX Business News: mornings with Maria,120141,120141,National,TV
FOX Business Online,1314480.5,5257922,National,Online
FOX Newes,2029182,2029182,"Minneapolis, MN",TV
Fox News,5387718.25,21550873,National ,Online
FOX Sports,429395.5,1717582,National,Online
FOX43 Sports (WPMT),33051,132206,"York, PA",Online
Freeport Journal,1000,4000,Local,Online
Front Office Sports,13499.5,53998,National,Online
Front Office Sports Newsletter,4000,4000,National,Trade
Gainesville Sun,25158,100632,"Gainesville, GA",Online
Garden City Telegram,2161.75,8647,"Garden City, KS",Online
Giants Wiew USA Today,21838,87352,"New York, NY",Online
GMA,3400000,3400000,National,TV
Great Falls Tribune,12094,48376,"Great Falls, MI",Online
green Bay Press Gazetyte,23855.25,95421,"Green Bay, WI",Online
Greenville News,32097.25,128389,"Greenville, SC",Online
Gwinnett Daily Post fb,38904,38904,Local,Social
Hartford Courant,157766.5,631066,"Hartford, CT",Online
Hays Daily News,1648.5,6594,"Hays, KS",Online
Headline News,174476,174476,National ,TV
Heavy,1806917.75,7227671,National,Online
Herald Democrat,4691.5,18766,"Sherman, TX",Online
Herald Telegraph,1000,4000,"Rock Hill, SC",Online
Herlad and Review,26804,107216,"Decatour, IL",Online
Hola!,78823.5,315294,National,Online
Hold Out Sports,1000,4000,National,Online
HOT 101.9,1000,4000,"Charlottesville, VA",Online
Hot Augusta,20080.25,80321,"Augusta, GA",Online
Hot Country 93.1,1000,4000,"Yankton, SD",Online
Hot Virals,1000,4000,National,Online
Hutchinson News,8587.5,34350,"Hutchinson, KS",Online
Ian Leonard,23593,23593,National,Social
